Title,Author,Length,Width,Height,Pages,Color
Legends and Lattes,Travis Baldree,8.25,5.35,0.8,294,#4b331c
Bliss Montage,Ling Ma,7.8,5.5,1.05,228,#91337f
And Then There Were None,Agatha Christie,8,5.36,0.7,247,#918783
Y/N,Esther Yi,8.56,5.84,0.8,224,#000000
The Deal,Elle Kennedy,8.25,5.5,1,360,#9dd6c6
The Secret History,Donna Tartt,8.01,5.19,1.02,559,#000000
Central Places,Delia Cai,9.52,6.37,1.04,288,#f0ee69
Better than the Movies,Lynn Painter,8.25,5.5,1,356,#76c4e6
5 Centimeters per Second,Makoto Shinkai,7.48,5.5,1.43,463,#3658a9
A Stone is Most Precious Where it Belongs,Gulchehra Hoja,9.3,6.4,1.35,320,#89c2ec
Tiny Moons,Nina Mingya Powles,7.8,5.08,0.28,92,#c8e7e9
The Keeper of Night,Kylie Lee Baker,8,5.26,0.97,393,#000000
King of Wrath,Ana Huang,8.5,5.5,1.04,416,#eeeeee
Seven Days in June,Tia Williams,9.25,6.5,1.5,336,#0e049b
Tomorrow and Tomorrow and Tomorrow,Gabrielle Zevin,9.53,6.48,1.4,401,#1bc6e0
The Score,Elle Kennedy,8.25,5.5,0.96,361,#e3cbe6
Walking Practice,Dolki Min,8.25,5.5,0.65,176,#000000
You Made a Fool of Death with Your Beauty,Akwaeke Emezi,8.25,5.31,0.7,312,#ea86a2
Yellowface,RF Kuang,9,6,1.09,336,#f0d346
The Master and Margarita,Mikhail Bulgakov,8.37,5.74,1.13,412,#000000
Sirens and Muses,Antonia Angress,9.6,6.41,1.2,368,#8c9248
Twisted Love,Ana Huang,8.5,5.5,0.88,352,#c7dbeb
Twisted Games,Ana Huang,8.5,5.5,1.12,448,#e5ddd0
Twisted Hate,Ana Huang,8.5,5.5,1.28,551,#ecada0
The Kind Worth Killing,Peter Swanson,8,5.31,0.72,415,#067362
The Phantom of the Opera,Gaston Leroux,7.8,5.1,0.8,368,#000000
The Stationery Shop,Marjan Kamali,8.38,5.63,0.84,336,#205175
The Cat Who Saved Books,Sosuke Natsukawa,8,5.31,0.47,208,#a79f82
The Luminaries,Susan Dennard,9.55,6.55,1.2,304,#1b1f0e
Walking Practice,Dolki Min,8.25,5.5,0.65,176,#000000
Ripe,Sarah Rose Etter,8.38,5.5,1.1,288,#5f0912
Boy Parts,Eliza Clark,8,5.31,0.66,304,#000000
Miracle Creek,Angie Kim,9.25,6.77,1.42,368,#37405e
The Cruel Prince,Holly Black,8.25,5.5,1.4,416,#ffffff
The Flatshare,Beth O'Leary,8.2,5.4,0.9,352,#c0bbc1
Kappa,Ryunosuke Akutagawa,8.1,5.2,0.3,96,#da3a35
Days at the Morisaki Bookshop,Satoshi Yagisawa,7.75,5,0.5,160,#f0e373
Let's Go Let's Go Let's Go,Cleo Qian,8.5,5.5,0.8,256,#3e82e3
This Spells Love,Kate Robb,8,5.19,0.72,352,#51b0ad
Moonshot,Mike Massimino,8.5,5.75,0.81,224,#23315d
Josh and Hazel's Guide to Not Dating,Christina Lauren,8.25,5.31,0.8,309,#e83492
Coraline, Neil Gaiman,7.62,5.12,0.42,189,#190e19
A Ladder to the Sky,John Boyne,9.21,6.02,1.06,362,#1bb5d0
The Loneliness Files,Athena Dixon,8.5,5.6,0.5,192,#ffffff
Orca: The Whale Called Killer,Erich Hoyt,9,6,0.75,320,#000000
Harry Potter and the Sorcerer's Stone,JK Rowling,7.75,5.25,0.75,309,#833c3e
The Unfortunate Life of Worms,Noemi Vola,8.26,5.9,1.3,264,#f8dfed
You Again,Kate Goldbeck,7.97,5.18,0.91,448,#c82b94
