Title,Author,Length,Width,Height,Pages,Color
Legends & Lattes,Travis Baldree,8.25,5.35,0.8,294,brown
Bliss Montage,Ling Ma,7.8,5.5,1.05,228,purple
And Then There Were None,Agatha Christie,8,5.36,0.7,247,gray
Y/N,Esther Yi,8.56,5.84,0.8,224,black
The Deal,Elle Kennedy,8.25,5.5,1,360,green
The Secret History,Donna Tartt,8.01,5.19,1.02,559,black
Central Places,Delia Cai,9.52,6.37,1.04,288,yellow
Better than the Movies,Lynn Painter,8.25,5.5,1,356,blue
5 Centimeters per Second,Makoto Shinkai,7.48,5.5,1.43,463,blue
A Stone is Most Precious Where it Belongs,Gulchehra Hoja,9.3,6.4,1.35,320,blue
Tiny Moons,Nina Mingya Powles,7.8,5.08,0.28,92,blue
The Keeper of Night,Kylie Lee Baker,8,5.26,0.97,393,black
King of Wrath,Ana Huang,8.5,5.5,1.04,416,white
Seven Days in June,Tia Williams,9.25,6.5,1.5,336,blue
Tomorrow and Tomorrow and Tomorrow,Gabrielle Zevin,9.53,6.48,1.4,401,blue
The Score,Elle Kennedy,8.25,5.5,0.96,361,pink
Walking Practice,Dolki Min,8.25,5.5,0.65,176,black
You Made a Fool of Death with Your Beauty,Akwaeke Emezi,8.25,5.31,0.7,312,pink
Yellowface,RF Kuang,9,6,1.09,336,yellow
The Master & Margarita,Mikhail Bulgakov,8.37,5.74,1.13,412,black
Sirens & Muses,Antonia Angress,9.6,6.41,1.2,368,green
Twisted Love,Ana Huang,8.5,5.5,0.88,352,blue
Twisted Games,Ana Huang,8.5,5.5,1.12,448,yellow
Twisted Hate,Ana Huang,8.5,5.5,1.28,551,red
The Kind Worth Killing,Peter Swanson,8,5.31,0.72,415,black
The Phantom of the Opera,Gaston Leroux,9,6,0.59,304,black
The Stationery Shop,Marjan Kamali,8.38,5.63,0.84,336,blue
The Cat Who Saved Books,Sosuke Natsukawa,8,5.31,0.47,208,yellow
The Luminaries,Susan Dennard,9.55,6.55,1.2,304,black
Walking Practice,Dolki Min,8.25,5.5,0.65,176,black
Ripe,Sarah Rose Etter,8.38,5.5,1.1,288,red
Boy Parts,Eliza Clark,8,5.31,0.66,304,black
Miracle Creek,Angie Kim,9.25,6.77,1.42,368,blue
The Cruel Prince,Holly Black,8.25,5.5,1.4,416,white
The Flatshare,Beth O'Leary,9.59,6.42,1.19,336,pink
Kappa,Ryunosuke Akutagawa,8.1,5.2,0.3,96,red
Days at the Morisaki Bookshop,Satoshi Yagisawa,7.75,5,0.5,160,yellow
Let's Go Let's Go Let's Go,Cleo Qian,8.5,5.5,0.8,256,blue
This Spells Love,Kate Robb,8,5.19,0.72,352,green
